s_id,r_id,o_id,confidence,source
0,0,1,1.0,extracted
0,1,2,1.0,extracted
0,2,3,1.0,extracted
0,3,4,1.0,extracted
0,2,5,1.0,extracted
0,2,6,1.0,extracted
0,2,7,1.0,extracted
0,3,8,1.0,extracted
9,0,10,1.0,extracted
9,1,2,1.0,extracted
9,2,3,1.0,extracted
9,3,4,1.0,extracted
9,2,5,1.0,extracted
9,2,6,1.0,extracted
9,2,7,1.0,extracted
9,3,8,1.0,extracted
11,0,12,1.0,extracted
11,1,2,1.0,extracted
13,0,14,1.0,extracted
13,1,2,1.0,extracted
15,0,16,1.0,extracted
15,1,2,1.0,extracted
15,2,3,1.0,extracted
15,4,17,1.0,extracted
15,2,18,1.0,extracted
15,2,6,1.0,extracted
15,2,7,1.0,extracted
15,2,19,1.0,extracted
20,0,21,1.0,extracted
20,1,2,1.0,extracted
20,2,3,1.0,extracted
20,4,17,1.0,extracted
20,2,18,1.0,extracted
20,2,6,1.0,extracted
20,2,7,1.0,extracted
20,2,19,1.0,extracted
22,0,23,1.0,extracted
22,1,2,1.0,extracted
22,2,3,1.0,extracted
22,4,17,1.0,extracted
22,2,18,1.0,extracted
22,2,6,1.0,extracted
22,2,7,1.0,extracted
22,2,19,1.0,extracted
24,0,25,1.0,extracted
24,1,2,1.0,extracted
24,4,26,1.0,extracted
24,2,27,1.0,extracted
24,2,18,1.0,extracted
24,3,4,1.0,extracted
24,4,28,1.0,extracted
29,0,30,1.0,extracted
29,1,2,1.0,extracted
29,4,26,1.0,extracted
29,2,27,1.0,extracted
29,2,18,1.0,extracted
29,3,4,1.0,extracted
29,4,28,1.0,extracted
31,0,32,1.0,extracted
31,1,2,1.0,extracted
31,3,4,1.0,extracted
31,3,8,1.0,extracted
33,0,34,1.0,extracted
33,1,2,1.0,extracted
33,3,4,1.0,extracted
33,3,8,1.0,extracted
35,0,36,1.0,extracted
35,1,2,1.0,extracted
35,2,3,1.0,extracted
35,2,37,1.0,extracted
35,4,17,1.0,extracted
35,4,38,1.0,extracted
35,2,18,1.0,extracted
35,2,5,1.0,extracted
35,2,39,1.0,extracted
35,4,40,1.0,extracted
35,2,7,1.0,extracted
35,2,41,1.0,extracted
42,0,43,1.0,extracted
42,1,2,1.0,extracted
42,2,3,1.0,extracted
42,2,18,1.0,extracted
42,4,40,1.0,extracted
42,2,7,1.0,extracted
42,2,41,1.0,extracted
44,0,45,1.0,extracted
44,1,2,1.0,extracted
44,2,3,1.0,extracted
44,2,18,1.0,extracted
44,4,40,1.0,extracted
44,2,7,1.0,extracted
44,2,41,1.0,extracted
46,0,47,1.0,extracted
46,1,2,1.0,extracted
48,0,49,1.0,extracted
48,1,2,1.0,extracted
50,0,51,1.0,extracted
50,1,2,1.0,extracted
50,2,3,1.0,extracted
50,4,40,1.0,extracted
52,0,53,1.0,extracted
52,1,2,1.0,extracted
52,2,3,1.0,extracted
52,4,40,1.0,extracted
54,0,55,1.0,extracted
54,1,2,1.0,extracted
54,2,3,1.0,extracted
54,3,4,1.0,extracted
54,2,6,1.0,extracted
54,2,7,1.0,extracted
54,3,8,1.0,extracted
56,0,57,1.0,extracted
56,1,2,1.0,extracted
56,2,3,1.0,extracted
56,3,4,1.0,extracted
56,2,6,1.0,extracted
56,2,7,1.0,extracted
